 kanricd |  kbncd   | styukymd | edyukymd |                                                                                                                                                                                                                                                    kanritbl                                                                                                                                                                                                                                                    | termid | opid |  creymd  |  upymd   | uphms  | hospnum 
---------+----------+----------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+------+----------+----------+--------+---------
 0044    | 1001     | 00000000 | 99999999 | 会計カード                                                                                                                                                      ORCBG007                診療年月            YM        患者番号            PTNUM     入外区分            N1        病棟番号            N02       並び順              N1        編集区分            N10       診療科              N02       保険区分            N1        開始日              N2        終了日              N2        1212222222 |        |      |          | 20160701 | 115312 |       1
 0044    | 1002     | 00000000 | 99999999 | 診療科別医薬品使用量統計                                                                                                                                        ORCBG001                診療年月            YM        薬剤区分            N1        院外区分            N1        入外区分            N1        処理区分            N1        診療区分            N02                                                                                                                               122222     |        |      |          | 20120912 | 160755 |       1
 0044    | 1003     | 00000000 | 99999999 | 診療科別医薬品使用量統計（合計金額）                                                                                                                            ORCBG006                診療年月            YM        薬剤区分            N1        院外区分            N1        入外区分            N1        処理区分            N1        診療区分            N02                                                                                                                               122222     |        |      |          | 20120912 | 160755 |       1
 0044    | 1004     | 00000000 | 99999999 | 未収金一覧表（患者別）                                                                                                                                          ORCBG010                期間指定区分        N1        開始診療年月        KKNYM     終了診療年月        KKNYM     処理区分            N1        未収金区分          N1                                                                                                                                                              12221      |        |      |          | 20120912 | 160755 |       1
 0044    | 1005     | 00000000 | 99999999 | 未収金一覧表（伝票別）                                                                                                                                          ORCBG011                期間指定区分        N1        開始診療年月        KKNYM     終了診療年月        KKNYM     処理区分            N1        入外区分            N1        未収金区分          N1                                                                                                                                122211     |        |      |          | 20120912 | 160755 |       1
 0044    | 1006     | 00000000 | 99999999 | 空き患者番号一覧                                                                                                                                                ORCBZ001                開始患者番号        PTNUM     終了患者番号        PTNUM                                                                                                                                                                                                                                                     22         |        |      | 20041006 | 20041006 | 153818 |       1
 0044    | 1007     | 00000000 | 99999999 | カルテ３号用紙一括出力                                                                                                                                          ORCBZ002                診療開始年月        YM        診療終了年月        YM        診療科コード        N02       入外区分            N1        患者番号            PTNUM                                                                                                                                                           11212      |        |      |          | 20160701 | 115345 |       1
 0044    | 1008     | 00000000 | 99999999 | チェックマスタ一覧表                                                                                                                                            ORCBHXLST               チェック区分        A1        開始コード          N9        終了コード          N9                                                                                                                                                                                                                          122        |        |      |          | 20120912 | 160755 |       1
 0044    | 1009     | 00000000 | 99999999 | レセプトチェック（プレビュー）                                                                                                                                  ORCBPRVPRT                                                                                                                                                                                                                                                                                                                                     |        |      | 20041006 | 20041006 | 154041 |       1
 0044    | 1010     | 00000000 | 99999999 | 定期請求患者一覧表                                                                                                                                              ORCBG002                処理年月            YM        処理区分            N1        並び順              N1                                                                                                                                                                                                                          111        |        |      |          | 20120912 | 160755 |       1
 0044    | 1011     | 00000000 | 99999999 | 入院会計未作成者一覧表                                                                                                                                          ORCBG003                処理年月            YM                                                                                                                                                                                                                                                                                      1          |        |      | 20041006 | 20041006 | 162604 |       1
 0044    | 1012     | 00000000 | 99999999 | 入院患者通算日数一覧表                                                                                                                                          ORCBG004                基準日              YMD       処理区分            N1                                                                                                                                                                                                                                                        11         |        |      |          | 20160701 | 115345 |       1
 0044    | 1013     | 00000000 | 99999999 | 長期入院対象患者一覧表                                                                                                                                          ORCBG005                基準日              YMD       処理区分            N1                                                                                                                                                                                                                                                        11         |        |      |          | 20120912 | 160755 |       1
 0044    | 1014     | 00000000 | 99999999 | 高額日計表（高額請求添付資料）                                                                                                                                  ORCBG008                診療年月            YM        処理区分            A1        検索内容            NAIYO     入外区分            N1                                                                                                                                                                                            1111       |        |      |          | 20120912 | 160755 |       1
 0044    | 1015     | 00000000 | 99999999 | 高額日計表（診療内容参考資料）                                                                                                                                  ORCBG009                診療年月            YM        処理区分            A1        検索内容            NAIYO                                                                                                                                                                                                                       111        |        |      |          | 20120912 | 160755 |       1
 0044    | 1016     | 00000000 | 99999999 | 調整金一覧表                                                                                                                                                    ORCBG012                期間指定区分        N1        開始診療年月        KKNYM     終了診療年月        KKNYM     並び順              N1        診療科別            N1        入外区分            N1                                                                                                                                122121     |        |      |          | 20120912 | 160755 |       1
 0044    | 1017     | 00000000 | 99999999 | 外来月別請求書                                                                                                                                                  ORCBG013                診療年月            YM        発行方法            N1        患者番号            PTNUM     伝票発行日          YMD       発行区分            N1        診療科              N02       前回未収            N1        集計区分            N1        印刷帳票            N1        患者設定参照        N1        1121122111 |        |      |          | 20120912 | 160755 |       1
 0044    | 1019     | 00000000 | 99999999 | 保険請求確認リスト                                                                                                                                              ORCBG014                請求年月            YM        提出先区分          N1        保険者番号          N8        処理区分            N1        入外区分            N1        在総診区分          N1        レセプト種別        N3        並び順              N1                                                                    12222222   |        |      |          | 20120912 | 160755 |       1
 0044    | 1020     | 00000000 | 99999999 | 外来カルテ一括発行                                                                                                                                              ORCBZ003                最終受診年月        YM        診療科              N02       病名編集区分        N1        個別指示            N1                                                                                                                                                                                            1122       |        |      |          | 20120912 | 160755 |       1
 0044    | 1021     | 00000000 | 99999999 | 一部負担金給与控除一覧                                                                                                                                          ORCBG015                診療年月            YM                                                                                                                                                                                                                                                                                      1          |        |      | 20060323 | 20060323 | 140551 |       1
 0044    | 1022     | 00000000 | 99999999 | 入院会計一括作成                                                                                                                                                ORCBCRENYUACCT          処理年月            YM                                                                                                                                                                                                                                                                                      1          |        |      | 20060323 | 20060323 | 141058 |       1
 0044    | 1023     | 00000000 | 99999999 | 指定診療行為件数調                                                                                                                                              ORCBG016                診療年月            YM        入外区分            N2        診療科              N02       処理区分            N1        診療行為１          SRYCD     診療行為２          SRYCD     診療行為３          SRYCD     診療行為４          SRYCD     診療行為５          SRYCD     診療行為６          SRYCD     1222122222 |        |      |          | 20140715 | 135423 |       1
 0044    | 1024     | 00000000 | 99999999 | 診療行為別集計表                                                                                                                                                ORCBG017                診療年月            YM        入外区分            N2        診療科              N02       診療区分１          A2        診療区分２          A2        診療区分３          A2        診療区分４          A2        診療区分５          A2        診療区分６          A2        診療区分７          A2        1221222222 |        |      |          | 20140715 | 135423 |       1
 0044    | 1025     | 00000000 | 99999999 | 適応病名情報更新（薬剤）                                                                                                                                        ORCBCHKYAK1                                                                                                                                                                                                                                                                                           初期化区分          KKNYM              2 |        |      |          | 20140715 | 135226 |       1
 0044    | 1026     | 00000000 | 99999999 | 適応病名情報更新（検査）                                                                                                                                        ORCBCHKKNS1                                                                                                                                                                                                                                                                                           初期化区分          KKNYM              2 |        |      |          | 20140715 | 135226 |       1
 0044    | 1027     | 00000000 | 99999999 | 標欠用会計更新                                                                                                                                                  ORCBHYOUKETU            処理年月            YM        処理区分            A1                                                                                                                                                                                                                                                        11         |        |      |          | 20120912 | 160755 |       1
 0044    | 1028     | 00000000 | 99999999 | 経過措置薬剤更新リスト                                                                                                                                          ORCBG018                有効終了日          YMD                                                                                                                                                                                                                                                                                     1          |        |      |          | 20140715 | 135226 |       1
 0044    | 1029     | 00000000 | 99999999 | 月遅れ分レセ電データ未作成患者一覧                                                                                                                              ORCBG019                診療年月            YM                                                                                                                                                                                                                                                                                      1          |        |      | 20080530 | 20080530 | 155116 |       1
