 table_schema |    table_name    
--------------+------------------
 public       | tbl_jyurrk
 public       | tbl_jyurrk_prv
 public       | tbl_list_doctor
 public       | tbl_mnote_h
 public       | tbl_nyuinacct
 public       | tbl_orderprt
 public       | tbl_ptrsiinf
 public       | tbl_receprt
 public       | tbl_rrksrh
 public       | tbl_sryacct_main
 public       | tbl_sryacct_prv
 public       | tbl_srysrh
 public       | tbl_syunou_main
 public       | tbl_syunou_prv
 public       | tbl_uketuke
 public       | tbl_wksryact
 public       | tbl_yyk
 public       | tbl_yykcom
 public       | view_bd002
(19 rows)

