          event_time           |          action           |                       resource                        |             actor_id             |              request_id              |               trace_id               |                                                                                                                                                                                                                                  payload                                                                                                                                                                                                                                  
-------------------------------+---------------------------+-------------------------------------------------------+----------------------------------+--------------------------------------+--------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 2025-12-26 15:28:15.507277+09 | ORCA_PATIENT_MUTATION     | /openDolphin/resources/orca/patient/mutation          | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-patient_mutation    | 8a03b766-2644-4647-887d-640588a0dc34 | {"traceId":"8a03b766-2644-4647-887d-640588a0dc34","facilityId":"1.3.6.1.4.1.9414.10.1","patientId":"0000001","operation":"update","requestId":"20251226T061010Z-patient_mutation"}
 2025-12-26 15:28:15.480602+09 | ORCA_DISEASE_MUTATION     | /openDolphin/resources/orca/disease                   | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-disease             | d646494b-8a2e-476e-884b-1ff805b39590 | {"traceId":"d646494b-8a2e-476e-884b-1ff805b39590","facilityId":"1.3.6.1.4.1.9414.10.1","removed":0,"patientId":"0000001","created":1,"requestId":"20251226T061010Z-disease","updated":0}
 2025-12-26 15:28:15.434286+09 | ORCA_BIRTH_DELIVERY       | /openDolphin/resources/orca/birth-delivery            | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-birth_delivery      | 35078525-c414-4fd0-a5f6-2a93e64b7b66 | {"traceId":"35078525-c414-4fd0-a5f6-2a93e64b7b66","facilityId":"1.3.6.1.4.1.9414.10.1","requestId":"20251226T061010Z-birth_delivery","status":"blocked"}
 2025-12-26 15:28:15.414282+09 | ORCA_MEDICATION_MOD       | /openDolphin/resources/orca/tensu/sync                | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-tensu_sync          | c4d25231-128a-4e9a-ae29-5008b159cb29 | {"traceId":"c4d25231-128a-4e9a-ae29-5008b159cb29","facilityId":"1.3.6.1.4.1.9414.10.1","requestId":"20251226T061010Z-tensu_sync","status":"blocked"}
 2025-12-26 15:28:15.392574+09 | ORCA_MEDICAL_SET_MUTATION | /openDolphin/resources/orca/medical-sets              | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-medical_sets        | 3972c3f4-003c-4e62-840c-800238941db2 | {"traceId":"3972c3f4-003c-4e62-840c-800238941db2","facilityId":"1.3.6.1.4.1.9414.10.1","requestId":"20251226T061010Z-medical_sets","status":"blocked"}
 2025-12-26 15:28:15.373231+09 | ORCA_MEDICAL_GET          | /openDolphin/resources/orca/medical/records           | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-medical_records     | 434d28c5-5554-4311-b918-b21e0d8824ce | {"traceId":"434d28c5-5554-4311-b918-b21e0d8824ce","recordsReturned":0,"facilityId":"1.3.6.1.4.1.9414.10.1","patientId":"0000001","requestId":"20251226T061010Z-medical_records"}
 2025-12-26 15:28:15.329176+09 | ORCA_SUBJECTIVES_MUTATION | /openDolphin/resources/orca/chart/subjectives         | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-subjectives         | 0c540851-f052-4b04-8bb1-7c5a9828b722 | {"traceId":"0c540851-f052-4b04-8bb1-7c5a9828b722","facilityId":"1.3.6.1.4.1.9414.10.1","patientId":"0000001","requestId":"20251226T061010Z-subjectives","status":"blocked"}
 2025-12-26 15:19:27.576645+09 | ORCA_PATIENT_MUTATION     | /openDolphin/resources/orca/patient/mutation          | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-patient_mutation    | de0f8859-4037-41f0-af8d-56ea343e6596 | {"traceId":"de0f8859-4037-41f0-af8d-56ea343e6596","facilityId":"1.3.6.1.4.1.9414.10.1","patientId":"0000001","operation":"update","requestId":"20251226T061010Z-patient_mutation"}
 2025-12-26 15:19:27.512909+09 | ORCA_BIRTH_DELIVERY       | /openDolphin/resources/orca/birth-delivery            | 1.3.6.1.4.1.9414.10.1:dolphindev | 20251226T061010Z-birth_delivery      | 79d76a7d-61e8-4ed4-8694-9f10a38c2d5f | {"traceId":"79d76a7d-61e8-4ed4-8694-9f10a38c2d5f","facilityId":"1.3.6.1.4.1.9414.10.1","requestId":"20251226T061010Z-birth_delivery","status":"blocked"}
