                    List of relations
 Schema |           Name           | Type  |    Owner    
--------+--------------------------+-------+-------------
 public | d_appo                   | table | opendolphin
 public | d_attachment             | table | opendolphin
 public | d_audit_event            | table | opendolphin
 public | d_byte_module            | table | opendolphin
 public | d_care_plan              | table | opendolphin
 public | d_care_plan_item         | table | opendolphin
 public | d_composite_image        | table | opendolphin
 public | d_diagnosis              | table | opendolphin
 public | d_document               | table | opendolphin
 public | d_facility               | table | opendolphin
 public | d_factor2_backupkey      | table | opendolphin
 public | d_factor2_challenge      | table | opendolphin
 public | d_factor2_code           | table | opendolphin
 public | d_factor2_credential     | table | opendolphin
 public | d_factor2_device         | table | opendolphin
 public | d_first_encounter        | table | opendolphin
 public | d_health_insurance       | table | opendolphin
 public | d_image                  | table | opendolphin
 public | d_karte                  | table | opendolphin
 public | d_labo_item              | table | opendolphin
 public | d_labo_module            | table | opendolphin
 public | d_labo_specimen          | table | opendolphin
 public | d_letter                 | table | opendolphin
 public | d_letter_date            | table | opendolphin
 public | d_letter_item            | table | opendolphin
 public | d_letter_module          | table | opendolphin
 public | d_letter_text            | table | opendolphin
 public | d_module                 | table | opendolphin
 public | d_nlabo_item             | table | opendolphin
 public | d_nlabo_module           | table | opendolphin
 public | d_nurse_progress_course  | table | opendolphin
 public | d_observation            | table | opendolphin
 public | d_oid                    | table | opendolphin
 public | d_ondoban                | table | opendolphin
 public | d_patient                | table | opendolphin
 public | d_patient_freedocument   | table | opendolphin
 public | d_patient_memo           | table | opendolphin
 public | d_patient_visit          | table | opendolphin
 public | d_phr_key                | table | opendolphin
 public | d_published_tree         | table | opendolphin
 public | d_radiology_method       | table | opendolphin
 public | d_roles                  | table | opendolphin
 public | d_stamp                  | table | opendolphin
 public | d_stamp_tree             | table | opendolphin
 public | d_subscribed_tree        | table | opendolphin
 public | d_third_party_disclosure | table | opendolphin
 public | d_users                  | table | opendolphin
 public | d_vital                  | table | opendolphin
 public | demo_disease             | table | opendolphin
 public | demo_patient             | table | opendolphin
 public | demo_rp                  | table | opendolphin
(51 rows)

