                       List of relations
   Schema    |            Name            | Type  |    Owner    
-------------+----------------------------+-------+-------------
 opendolphin | appointment_model          | table | opendolphin
 opendolphin | d_appo                     | table | opendolphin
 opendolphin | d_attachment               | table | opendolphin
 opendolphin | d_audit_event              | table | opendolphin
 opendolphin | d_diagnosis                | table | opendolphin
 opendolphin | d_document                 | table | opendolphin
 opendolphin | d_factor2_backupkey        | table | opendolphin
 opendolphin | d_factor2_challenge        | table | opendolphin
 opendolphin | d_factor2_credential       | table | opendolphin
 opendolphin | d_image                    | table | opendolphin
 opendolphin | d_letter_module            | table | opendolphin
 opendolphin | d_module                   | table | opendolphin
 opendolphin | d_nlabo_item               | table | opendolphin
 opendolphin | d_nlabo_module             | table | opendolphin
 opendolphin | d_patient_visit            | table | opendolphin
 opendolphin | d_roles                    | table | opendolphin
 opendolphin | d_stamp_tree               | table | opendolphin
 opendolphin | d_third_party_disclosure   | table | opendolphin
 opendolphin | document_model             | table | opendolphin
 opendolphin | flyway_schema_history      | table | opendolphin
 opendolphin | nlabo_module               | table | opendolphin
 opendolphin | patient_model              | table | opendolphin
 opendolphin | patient_visit_model        | table | opendolphin
 opendolphin | phr_async_job              | table | opendolphin
 opendolphin | registered_diagnosis_model | table | opendolphin
 public      | d_byte_module              | table | opendolphin
 public      | d_care_plan                | table | opendolphin
 public      | d_care_plan_item           | table | opendolphin
 public      | d_composite_image          | table | opendolphin
 public      | d_facility                 | table | opendolphin
 public      | d_factor2_code             | table | opendolphin
 public      | d_factor2_device           | table | opendolphin
 public      | d_first_encounter          | table | opendolphin
 public      | d_health_insurance         | table | opendolphin
 public      | d_karte                    | table | opendolphin
 public      | d_labo_item                | table | opendolphin
 public      | d_labo_module              | table | opendolphin
 public      | d_labo_specimen            | table | opendolphin
 public      | d_letter                   | table | opendolphin
 public      | d_letter_date              | table | opendolphin
 public      | d_letter_item              | table | opendolphin
 public      | d_letter_text              | table | opendolphin
 public      | d_nurse_progress_course    | table | opendolphin
 public      | d_observation              | table | opendolphin
 public      | d_oid                      | table | opendolphin
 public      | d_ondoban                  | table | opendolphin
 public      | d_patient                  | table | opendolphin
 public      | d_patient_freedocument     | table | opendolphin
 public      | d_patient_memo             | table | opendolphin
 public      | d_phr_key                  | table | opendolphin
 public      | d_published_tree           | table | opendolphin
 public      | d_radiology_method         | table | opendolphin
 public      | d_stamp                    | table | opendolphin
 public      | d_subscribed_tree          | table | opendolphin
 public      | d_users                    | table | opendolphin
 public      | d_vital                    | table | opendolphin
 public      | demo_disease               | table | opendolphin
 public      | demo_patient               | table | opendolphin
 public      | demo_rp                    | table | opendolphin
(59 rows)

