Filtering the log data using "process == "com.docker.backend""
Timestamp                       (process)[PID]    
2025-11-12 07:55:51.186488+0900  localhost com.docker.backend[80433]: (LaunchServices) [com.apple.launchservices:cas] CopyFrontApplication() = <private>
2025-11-12 07:55:51.482697+0900  localhost com.docker.backend[80433]: (LaunchServices) [com.apple.launchservices:cas] CopyFrontApplication() = <private>
2025-11-12 07:56:03.484886+0900  localhost com.docker.backend[80433]: (Network) [com.apple.network:path] Saved agent: <private>
2025-11-12 07:56:03.485329+0900  localhost com.docker.backend[80433]: (Network) [com.apple.network:path] Saved agent: <private>
2025-11-12 07:56:03.485337+0900  localhost com.docker.backend[80433]: (Network) [com.apple.network:path] Saved agent: <private>
2025-11-12 07:56:03.485350+0900  localhost com.docker.backend[80433]: (Network) [com.apple.network:path] Saved agent: <private>
2025-11-12 07:56:03.485364+0900  localhost com.docker.backend[80433]: (Network) [com.apple.network:path] Saved agent: <private>
2025-11-12 07:56:03.485402+0900  localhost com.docker.backend[80433]: (Network) [com.apple.network:path] nw_path_libinfo_path_check [2048DAAD-7B4E-4E48-9766-40789E1D3E27 Hostname#60ff08f4:0 tcp, legacy-socket, attribution: developer]
	libinfo check path: <private>
2025-11-12 07:56:03.485418+0900  localhost com.docker.backend[80433]: (Network) [com.apple.network:] -[NWConcrete_nw_path_evaluator dealloc] 2048DAAD-7B4E-4E48-9766-40789E1D3E27
