source	id	event_time	action	request_id
legacy	5	2025-11-12 03:14:20.648614+09	SEQ_SMOKE	trace-seq-smoke
legacy	3	2025-11-12 01:38:58.661587+09	SEQ_SMOKE	trace-seq-smoke
legacy	2	2025-11-12 01:37:54.322521+09	SEQ_SMOKE	trace-seq-smoke
modern	65	2025-11-12 03:42:53.900741+09	SEQ_SMOKE	trace-seq-smoke
modern	63	2025-11-12 03:40:53.544793+09	SEQ_SMOKE	trace-seq-smoke
modern	61	2025-11-12 03:13:45.011107+09	SEQ_SMOKE	trace-seq-smoke
modern	59	2025-11-12 03:10:36.755983+09	SEQ_SMOKE	trace-seq-smoke
modern	57	2025-11-12 01:40:15.841699+09	SEQ_SMOKE	trace-seq-smoke
modern	55	2025-11-11 20:07:08.954473+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-20251111T091717Z
modern	54	2025-11-11 20:05:51.873631+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-20251111T091717Z
modern	53	2025-11-11 18:43:32.786512+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-400
modern	52	2025-11-11 18:29:24.586096+09	SYSTEM_ACTIVITY_SUMMARY	trace-http-400
