   id   |          event_time           |         action          |                              run_id                              |              request_id              | outcome |                     resource                      |                                                                                                                                                 payload_head                                                                                                                                                 
--------+-------------------------------+-------------------------+------------------------------------------------------------------+--------------------------------------+---------+---------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 263775 | 2026-02-07 18:38:58.560243+09 | PATIENT_IMAGE_DOWNLOAD  | 20260207T093857Z-cmd_20260207_11_sub_3-images-mobile-server-hard | 92d77c1c-8fe8-4e79-b6f7-91b67343ef06 | SUCCESS | /openDolphin/resources/patients/P0002/images/9252 | {"remoteUser":"1.3.6.1.4.1.9414.10.1:dolphindev","traceId":"3c3c1fbc-6f86-4160-9948-f2f183ba7eaa","facilityId":"1.3.6.1.4.1.9414.10.1","patientId":"P0002","userId":"dolphindev","runIdFull":"20260207T093857Z-cmd_20260207_11_sub_3-images-mobile-server-hardening","filename":"ok.png","size":68,"requestI
 263774 | 2026-02-07 18:38:58.427901+09 | PATIENT_IMAGE_UPLOAD    | 20260207T093857Z-cmd_20260207_11_sub_3-images-mobile-server-hard | 7895ab85-7e15-4a7d-8954-91f837f6e4e9 | SUCCESS | /openDolphin/resources/patients/P0002/images      | {"remoteUser":"1.3.6.1.4.1.9414.10.1:dolphindev","traceId":"858d782a-9e77-4565-8f72-4a92fd926018","facilityId":"1.3.6.1.4.1.9414.10.1","patientId":"P0002","userId":"dolphindev","runIdFull":"20260207T093857Z-cmd_20260207_11_sub_3-images-mobile-server-hardening","filename":"ok.png","size":68,"requestI
 263773 | 2026-02-07 18:38:58.345812+09 | REST_ERROR_RESPONSE     |                                                                  | b5197f77-fcec-4e17-ae91-baab4196a7c8 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"reason":"payload_too_large","facilityId":"1.3.6.1.4.1.9414.10.1","size":5243904,"httpStatus":413,"errorMessage":"Payload too large","errorCode":"payload_too_large","maxBytes":5242880,"env":"OPENDOLPHIN_IMAGES_MAX_BYTES","status":"failed"}
 263772 | 2026-02-07 18:38:58.260194+09 | REST_ERROR_RESPONSE     |                                                                  | 3e406b6c-6d75-48bd-9f49-8f3f29155528 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"reason":"unsupported_media_type","facilityId":"1.3.6.1.4.1.9414.10.1","allowed":["image/jpeg","image/png"],"httpStatus":415,"errorMessage":"Unsupported content type","errorCode":"unsupported_media_type","contentType":"application/octet-stream","status":"failed"}
 263771 | 2026-02-07 18:38:58.212452+09 | REST_ERROR_RESPONSE     |                                                                  | cebe8b99-ef46-4442-99fa-93993de5b4d1 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"reason":"forbidden","facilityId":"0001","patientId":"P0002","httpStatus":403,"errorMessage":"Access denied","errorCode":"forbidden","status":"failed"}
 263770 | 2026-02-07 18:38:58.166399+09 | REST_ERROR_RESPONSE     |                                                                  | 7467e3ad-f1a5-454c-8f82-2e88ce221329 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"requiredHeader":"X-Feature-Images","reason":"feature_disabled","facilityId":"1.3.6.1.4.1.9414.10.1","httpStatus":404,"errorMessage":"Images PhaseA is disabled","errorCode":"feature_disabled","requiredEnv":"OPENDOLPHIN_FEATURE_IMAGES_PHASEA","status":"failed"}
 263769 | 2026-02-07 18:38:58.078435+09 | REST_UNAUTHORIZED_GUARD |                                                                  | 29939102-91ca-47fe-9dd7-9e3f3436cec7 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"errorMessage":"Authentication required","reason":"authentication_failed","errorCode":"unauthorized","httpStatus":401,"status":"failed"}
 263766 | 2026-02-07 18:35:22.265867+09 | REST_ERROR_RESPONSE     |                                                                  | 1ba0b3e6-6784-4d73-aac2-375fc4e1c13e | FAILURE | /openDolphin/resources/patients/P0002/images      | {"reason":"invalid_multipart","facilityId":"1.3.6.1.4.1.9414.10.1","httpStatus":400,"errorMessage":"Failed to read multipart file","errorCode":"invalid_multipart","validationError":true,"status":"failed"}
 263765 | 2026-02-07 18:35:22.175746+09 | REST_ERROR_RESPONSE     |                                                                  | d2980b0e-8492-4647-bf41-c1b86a3bcfb8 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"reason":"invalid_multipart","facilityId":"1.3.6.1.4.1.9414.10.1","httpStatus":400,"errorMessage":"Failed to read multipart file","errorCode":"invalid_multipart","validationError":true,"status":"failed"}
 263764 | 2026-02-07 18:35:22.097149+09 | REST_ERROR_RESPONSE     |                                                                  | c69bf352-c831-4870-a6bf-1200fb14c3b5 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"reason":"forbidden","facilityId":"0001","patientId":"P0002","httpStatus":403,"errorMessage":"Access denied","errorCode":"forbidden","status":"failed"}
 263763 | 2026-02-07 18:35:22.045274+09 | REST_ERROR_RESPONSE     |                                                                  | 7b45336f-0d3a-4125-918d-35eef5892fa3 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"requiredHeader":"X-Feature-Images","reason":"feature_disabled","facilityId":"1.3.6.1.4.1.9414.10.1","httpStatus":404,"errorMessage":"Images PhaseA is disabled","errorCode":"feature_disabled","requiredEnv":"OPENDOLPHIN_FEATURE_IMAGES_PHASEA","status":"failed"}
 263762 | 2026-02-07 18:35:21.829837+09 | REST_UNAUTHORIZED_GUARD |                                                                  | d487fe5f-f0b5-4f67-9390-354bb928f791 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"errorMessage":"Authentication required","reason":"authentication_failed","errorCode":"unauthorized","httpStatus":401,"status":"failed"}
 263761 | 2026-02-07 17:57:59.412818+09 | PATIENT_IMAGE_DOWNLOAD  |                                                                  | 1bef68fd-a636-4c3a-994e-d37e690db6eb | SUCCESS | /openDolphin/resources/patients/P0002/images/9246 | {"remoteUser":"1.3.6.1.4.1.9414.10.1:dolphindev","traceId":"2e5b43e5-d75a-4b5f-bc17-fd43f9c9e03a","filename":"test.png","facilityId":"1.3.6.1.4.1.9414.10.1","size":68,"patientId":"P0002","attachmentId":9246,"operation":"image_download","contentType":"image/png","userId":"dolphindev","status":"SUCCES
 263760 | 2026-02-07 17:57:59.298451+09 | PATIENT_IMAGE_UPLOAD    |                                                                  | fdf0ff7d-81bd-41db-b3e2-2c7eef9348b9 | SUCCESS | /openDolphin/resources/patients/P0002/images      | {"remoteUser":"1.3.6.1.4.1.9414.10.1:dolphindev","traceId":"dc12a885-f9fe-4777-aae0-9a794a627c34","facilityId":"1.3.6.1.4.1.9414.10.1","patientId":"P0002","userId":"dolphindev","filename":"test.png","size":68,"documentId":9245,"attachmentId":9246,"operation":"image_upload","contentType":"image/png",
 263759 | 2026-02-07 17:57:59.26504+09  | REST_ERROR_RESPONSE     |                                                                  | 167483d4-c533-4c0e-bb71-e0d4983e92ac | FAILURE | /openDolphin/resources/patients/P0002/images      | {"requiredHeader":"X-Feature-Images","reason":"feature_disabled","facilityId":"1.3.6.1.4.1.9414.10.1","httpStatus":404,"errorMessage":"Images PhaseA is disabled","errorCode":"feature_disabled","requiredEnv":"OPENDOLPHIN_FEATURE_IMAGES_PHASEA","status":"failed"}
 263758 | 2026-02-07 17:57:59.232742+09 | REST_UNAUTHORIZED_GUARD |                                                                  | 40222c8d-fafc-4566-95b9-ca87daae1a6a | FAILURE | /openDolphin/resources/patients/P0002/images      | {"errorMessage":"Authentication required","reason":"authentication_failed","errorCode":"unauthorized","httpStatus":401,"status":"failed"}
 263757 | 2026-02-07 17:57:16.259014+09 | PATIENT_IMAGE_UPLOAD    |                                                                  | 8ddefef6-d062-47ed-b106-47bfe1a3e640 | SUCCESS | /openDolphin/resources/patients/P0002/images      | {"remoteUser":"1.3.6.1.4.1.9414.10.1:dolphindev","traceId":"8c9a1a0d-dd45-427d-9666-95e5bce66071","facilityId":"1.3.6.1.4.1.9414.10.1","patientId":"P0002","userId":"dolphindev","filename":"a.bin","size":1,"documentId":9242,"attachmentId":9243,"operation":"image_upload","contentType":"application/oct
 263756 | 2026-02-07 17:56:13.506264+09 | REST_ERROR_RESPONSE     |                                                                  | daf7763d-19ab-4125-a1b5-d36b2978769f | FAILURE | /openDolphin/resources/patients/P0002/images      | {"retryable":true,"reason":"internal_server_error","facilityId":"1.3.6.1.4.1.9414.10.1","httpStatus":500,"errorMessage":"Session layer failure in open.dolphin.session.PatientImageServiceBean$Proxy$_$$_WeldSubclass#uploadImage","errorCode":"internal_server_error","status":"failed"}
 263755 | 2026-02-07 17:56:12.894087+09 | REST_ERROR_RESPONSE     |                                                                  | dccfe076-0491-403c-b7b3-53c31ece7dd0 | FAILURE | /openDolphin/resources/orca/order/bundles         | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263753 | 2026-02-07 17:51:19.812403+09 | REST_ERROR_RESPONSE     |                                                                  | c08e7730-5a5a-4337-bb61-603112e59373 | FAILURE | /openDolphin/resources/orca/order/bundles         | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263751 | 2026-02-07 17:51:19.067585+09 | REST_ERROR_RESPONSE     |                                                                  | 0ab5a7b1-706c-4206-9b84-1322a65d8de3 | FAILURE | /openDolphin/resources/orca/order/bundles         | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263749 | 2026-02-07 17:51:13.084793+09 | REST_ERROR_RESPONSE     |                                                                  | ee6f0659-3900-472c-a68a-f60b9bfc901d | FAILURE | /openDolphin/resources/orca/order/bundles         | {"reason":"patient_not_found","facilityId":"1.3.6.1.4.1.9414.72.103","httpStatus":404,"errorMessage":"Patient not found","errorCode":"patient_not_found","facilityIdHeader":"1.3.6.1.4.1.9414.72.103","status":"failed"}
 263747 | 2026-02-07 17:50:22.231193+09 | REST_ERROR_RESPONSE     |                                                                  | b61f7922-0c4c-4f25-a5d0-79c772ba4584 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"retryable":true,"reason":"internal_server_error","facilityId":"1.3.6.1.4.1.9414.10.1","httpStatus":500,"errorMessage":"Session layer failure in open.dolphin.session.PatientImageServiceBean$Proxy$_$$_WeldSubclass#uploadImage","errorCode":"internal_server_error","status":"failed"}
 263746 | 2026-02-07 17:50:22.024037+09 | REST_UNAUTHORIZED_GUARD |                                                                  | bdde67ab-4c74-4cde-9a59-b4da49e772a1 | FAILURE | /openDolphin/resources/patients/P0002/images      | {"errorMessage":"Authentication required","reason":"authentication_failed","errorCode":"unauthorized","httpStatus":401,"status":"failed"}
