No,URL,Method/Class,用途,優先度,確認観点,差異・備考,checkedAt
1,/api01rv2/patientgetv2,GET id,患者基本情報取得,P0,既存患者と Web クライアント表示の差分を突合,,
2,/orca14/appointmodv2,POST class=01/02,予約登録/取消,P0,予約操作が ORCA と Web 双方に反映されること,,
3,/api21/medicalmodv2,POST class=01-03,診療行為（中途）登録,P0,診療行為の登録/削除/変更が一致,,
4,/orca11/acceptmodv2,POST class=01/02,受付登録/取消,P0,受付一覧の即時更新と件数一致,,
5,/api01rv2/acceptlstv2,POST class=01-03,受付一覧取得,P0,日付/状態フィルタ結果が一致,,
6,/api01rv2/appointlstv2,POST class=01,予約一覧取得,P0,予約画面とレスポンスが一致し遅延なし,,
7,/orca102/medicatonmodv2,POST class=01-04,点数マスタ同期,P1,マスタ同期タスクが失敗しないこと,,
8,/api01rv2/patientlst1v2,POST class=01/02,患者番号一覧,P0,差分同期ジョブへ正常取り込み,,
9,/api01rv2/patientlst2v2,POST class=01,複数患者情報取得,P0,バッチ同期で文字化けが起きないこと,,
10,/api01rv2/patientlst3v2,POST class=01,氏名検索,P0,かな検索結果が UI と一致,,
11,/api01rv2/system01lstv2,POST class=01-07,システム管理情報,P1,診療科/職員などのマスタ整合性,,
12,/api01rv2/medicalgetv2,POST class=01-04,診療行為取得,P0,カルテ履歴とレスポンスが一致,,
13,/api01rv2/diseasegetv2,POST class=01,患者病名情報取得,P0,病名一覧が重複なく同期,,
14,/orca12/patientmodv2,POST class=01-04,患者登録/更新/削除,P0,登録→再取得の往復で差異が無い,,
15,/api01rv2/appointlst2v2,POST class=01,患者単位予約一覧,P0,患者詳細タブと一致,,
16,/api01rv2/acsimulatev2,POST class=01,請求金額試算,P0,金額試算が一致しタイムアウトしない,,
17,/orca25/subjectivesv2,POST class=01/02,症状詳記登録/削除,P0,カルテ記録と重複無く同期,,
18,/api01rv2/visitptlstv2,POST,来院患者一覧,P0,来院ウィジェットに即時反映,,
19,/api01rv2/hsconfbasev2,POST,入院基本情報,P1,Base_Date指定で5000医療機関情報ー入院基本と一致（XML2/UTF-8必須）,,
20,/api01rv2/hsconfwardv2,POST,病棟/病室マスタ,P1,Request_Number=1/2とWard/Room条件で病棟/病室が欠損なく返る,,
21,/api01rv2/tmedicalgetv2,POST,中途終了患者一覧,P1,Perform_DateとInOut(1/2)で500件以内かつ診療科/患者指定時のレスポンス整合,,
22,/api01rv2/insprogetv2,POST,保険者一覧,P0,保険者番号or保険番号で2500件以内かつ住所/給付割合が保持される,,
23,/api01rv2/hsmealv2,POST,入院食事情報,P1,Patient_IDと診療月で食事/室料/患者ステータスが1ヶ月分埋まる,,
24,/api01rv2/hsptevalv2,POST,医療区分・ADL 点数,P1,医療区分とADL日別配列がhsptevalmodv2登録値と一致,,
25,/api01rv2/hsptinfv2,POST,入院患者基本情報,P1,入退院履歴100件上限とWard/Room/担当医が最新異動と一致,,
26,/api01rv2/hsacsimulatev2,POST,退院時仮計算,P1,仮退院日指定で請求期間の点数/負担額/保険内訳が入院会計と一致,,
27,/api01rv2/incomeinfv2,POST,収納情報,P0,診療日or月or年指定で収納履歴/未収一覧が会計UIの金額と一致,,
28,/api01rv2/systeminfv2,POST,システム情報,P2,Request_Date/Timeが30分以内でDB/マスタ更新情報の差分を検知,,
29,/orca31/hsptinfmodv2,POST,入退院登録,P1,Request_Number=08/09で転棟/異動取消が反映（病棟/病室マスタ依存）,,
30,/orca31/hsacctmodv2,POST,外泊・食事登録（会計照会）,P1,Request_Number=2/4で外泊区分と食事継続がカレンダーに反映,,
31,/orca32/hsptevalmodv2,POST,医療区分登録,P1,Medical_Condition/ADL_ScoreのCSVがhsptevalv2取得値と一致,,
32,/orca101/manageusersv2,POST,ユーザー管理,P2,Request_Number=01-04でユーザー一覧/登録/変更/削除が職員情報と同期,,
33,/orca21/medicalsetv2,POST,診療セット登録,P0,セットコード登録/削除/終了日のMedical_Info配列が診療セットに反映,,
34,/orca31/birthdeliveryv2,POST,出産育児一時金,P1,照会/登録でDirect_PaymentやDelivery区分/支払金額が一時金申請値と一致,,
35,/api01rv2/patientlst6v2,POST,全保険組合せ一覧,P0,Request_Number=01で200件以内かつBase_Date指定時の負担割合が返却,,
36,/orca22/diseasev2,POST,患者病名登録,P0,Disease_Single/補足コード/保険組合せがカルテ病名構造と一致,,
37,/orca22/diseasev3,POST,患者病名登録2,P0,Base_Monthや補足コメントの差分がv2→v3で保持される,,
38,/orca31/hsacctmodv2,POST,入院会計作成,P1,Request_Number=9で入院会計が重複作成されず期間が正しく切り替わる,,
39,/orca31/hspmmv2,POST,入院会計未作成チェック,P1,Perform_Month指定で未作成フラグとリストが会計状況と一致,"HTTP405(Allow:GET)/RUN_ID=20251113T002806Z。logs/2025-11-13-orca-connectivity.md と notes/orca-api-field-validation.md §3.1 を参照。XML `<hspmmv2req>` で Perform_Month(YYYY-MM) を送る。",
