No,URL,Method/Class,用途,優先度,確認観点,SpecSlug,LocalSpec,SpecRemote
1,/api01rv2/patientgetv2,GET id,患者基本情報取得,P0,既存患者と Web クライアント表示の差分を突合,patientget,raw/patientget.md,https://www.orca.med.or.jp/receipt/tec/api/patientget.html
2,/orca14/appointmodv2,POST class=01/02,予約登録/取消,P0,予約操作が ORCA と Web 双方に反映されること,appointmod,raw/appointmod.md,https://www.orca.med.or.jp/receipt/tec/api/appointmod.html
3,/api21/medicalmodv2,POST class=01-03,診療行為（中途）登録,P0,診療行為の登録/削除/変更が一致,medicalmod,raw/medicalmod.md,https://www.orca.med.or.jp/receipt/tec/api/medicalmod.html
4,/orca11/acceptmodv2,POST class=01/02,受付登録/取消,P0,受付一覧の即時更新と件数一致,acceptmod,raw/acceptmod.md,https://www.orca.med.or.jp/receipt/tec/api/acceptmod.html
5,/api01rv2/acceptlstv2,POST class=01-03,受付一覧取得,P0,日付/状態フィルタ結果が一致,acceptancelst,raw/acceptancelst.md,https://www.orca.med.or.jp/receipt/tec/api/acceptancelst.html
6,/api01rv2/appointlstv2,POST class=01,予約一覧取得,P0,予約画面とレスポンスが一致し遅延なし,appointlst,raw/appointlst.md,https://www.orca.med.or.jp/receipt/tec/api/appointlst.html
7,/orca102/medicatonmodv2,POST class=01-04,点数マスタ同期,P1,マスタ同期タスクが失敗しないこと,medicatonmod,raw/medicatonmod.md,https://www.orca.med.or.jp/receipt/tec/api/medicatonmod.html
8,/api01rv2/patientlst1v2,POST class=01/02,患者番号一覧,P0,差分同期ジョブへ正常取り込み,patientidlist,raw/patientidlist.md,https://www.orca.med.or.jp/receipt/tec/api/patientidlist.html
9,/api01rv2/patientlst2v2,POST class=01,複数患者情報取得,P0,バッチ同期で文字化けが起きないこと,patientlist,raw/patientlist.md,https://www.orca.med.or.jp/receipt/tec/api/patientlist.html
10,/api01rv2/patientlst3v2,POST class=01,氏名検索,P0,かな検索結果が UI と一致,patientshimei,raw/patientshimei.md,https://www.orca.med.or.jp/receipt/tec/api/patientshimei.html
11,/api01rv2/system01lstv2,POST class=01-07,システム管理情報,P1,診療科/職員などのマスタ整合性,systemkanri,raw/systemkanri.md,https://www.orca.med.or.jp/receipt/tec/api/systemkanri.html
12,/api01rv2/medicalgetv2,POST class=01-04,診療行為取得,P0,カルテ履歴とレスポンスが一致,medicalinfo,raw/medicalinfo.md,https://www.orca.med.or.jp/receipt/tec/api/medicalinfo.html
13,/api01rv2/diseasegetv2,POST class=01,患者病名情報取得,P0,病名一覧が重複なく同期,disease,raw/disease.md,https://www.orca.med.or.jp/receipt/tec/api/disease.html
14,/orca12/patientmodv2,POST class=01-04,患者登録/更新/削除,P0,登録→再取得の往復で差異が無い,patientmod,raw/patientmod.md,https://www.orca.med.or.jp/receipt/tec/api/patientmod.html
15,/api01rv2/appointlst2v2,POST class=01,患者単位予約一覧,P0,患者詳細タブと一致,appointlst2,raw/appointlst2.md,https://www.orca.med.or.jp/receipt/tec/api/appointlst2.html
16,/api01rv2/acsimulatev2,POST class=01,請求金額試算,P0,金額試算が一致しタイムアウトしない,acsimulate,raw/acsimulate.md,https://www.orca.med.or.jp/receipt/tec/api/acsimulate.html
17,/orca25/subjectivesv2,POST class=01/02,症状詳記登録/削除,P0,カルテ記録と重複無く同期,subjectives,raw/subjectives.md,https://www.orca.med.or.jp/receipt/tec/api/subjectives.html
