193:src/features/charts/pages/ChartsPage.tsx(1612,33): error TS2304: Cannot find name 'createProgressNoteDocument'.
194:src/features/charts/pages/ChartsPage.tsx(1614,15): error TS2304: Cannot find name 'updateDocument'.
195:src/features/charts/pages/ChartsPage.tsx(1617,32): error TS2345: Argument of type '{ draft: ProgressNoteDraft; visit: PatientVisitSummary; karteId: number | null; session: AuthSession | null; facilityName: string | undefined; ... 6 more ...; orderModules: { ...; }[]; }' is not assignable to parameter of type 'ProgressNoteContext'.
199:src/features/charts/pages/ChartsPage.tsx(1693,36): error TS2551: Property 'healthInsuranceGUID' does not exist on type 'DocInfoSummary'. Did you mean 'healthInsurance'?
200:src/features/charts/pages/ChartsPage.tsx(1761,23): error TS18047: 'session' is possibly 'null'.
201:src/features/charts/pages/ChartsPage.tsx(1762,26): error TS18047: 'session' is possibly 'null'.
202:src/features/charts/pages/ChartsPage.tsx(1762,62): error TS18047: 'session' is possibly 'null'.
203:src/features/charts/pages/ChartsPage.tsx(1763,22): error TS18047: 'session' is possibly 'null'.
204:src/features/charts/pages/ChartsPage.tsx(1764,22): error TS18047: 'session' is possibly 'null'.
205:src/features/charts/pages/ChartsPage.tsx(1765,25): error TS18047: 'selectedVisit' is possibly 'null'.
206:src/features/charts/pages/ChartsPage.tsx(1766,25): error TS18047: 'selectedVisit' is possibly 'null'.
207:src/features/charts/pages/ChartsPage.tsx(1781,33): error TS2304: Cannot find name 'createProgressNoteDocument'.
208:src/features/charts/pages/ChartsPage.tsx(1783,15): error TS2304: Cannot find name 'updateDocument'.
209:src/features/charts/pages/ChartsPage.tsx(1785,27): error TS18047: 'selectedVisit' is possibly 'null'.
210:src/features/charts/pages/ChartsPage.tsx(1786,32): error TS2345: Argument of type '{ draft: ProgressNoteDraft; visit: PatientVisitSummary | null; karteId: number | null; session: AuthSession | null; facilityName: string | undefined; ... 6 more ...; orderModules: { ...; }[]; }' is not assignable to parameter of type 'ProgressNoteContext'.
214:src/features/charts/pages/ChartsPage.tsx(1786,60): error TS18047: 'selectedVisit' is possibly 'null'.
215:src/features/charts/pages/ChartsPage.tsx(1878,13): error TS2322: Type '({ id: `${string}-${string}-${string}-${string}-${string}`; source: "orca"; label: string; moduleInfo: { stampName: string; stampRole: string; entity: string; stampNumber: number; stampId: string | undefined; }; beanBytes: string; } | null)[]' is not assignable to type 'OrderModuleDraft[]'.
218:src/features/charts/pages/ChartsPage.tsx(1897,35): error TS2677: A type predicate's type must be assignable to its parameter's type.
222:src/features/charts/pages/ChartsPage.tsx(1918,9): error TS2345: Argument of type '{ id: string; label: string; detail: string; section: "A&P"; payload: string; planType: string; }' is not assignable to parameter of type 'SearchResultItem'.
225:src/features/charts/pages/ChartsPage.tsx(1932,9): error TS2345: Argument of type '{ id: string; label: string; detail: string; section: "陷・ｽｦ驗ゑｽｮ" | "隶諛域ｸ・ | "髦ｮ・ｬ" | "A&P"; payload: string; planType: string; }' is not assignable to parameter of type 'SearchResultItem'.
